Date,Rank,Game,Current Players,Peak Today,Heat Ratio,Genre,Developer,Release Year
2025-04-15,1,Counter-Strike 2,1154461,1818368,0.635,Action,Valve,2012
2025-04-15,2,Dota 2,526311,644980,0.816,Action,Valve,2013
2025-04-15,3,PUBG: BATTLEGROUNDS,325734,1329605,0.245,Action,PUBG Corporation,2017
2025-04-15,4,Schedule I,197033,455652,0.432,Action,TVGS,2025
2025-04-15,5,Path of Exile 2,150362,245870,0.612,Action,Grinding Gear Games,2024
2025-04-15,6,Marvel Rivals,143738,315153,0.456,Action,NetEase Games,2024
2025-04-15,7,Rust,131181,187702,0.699,Action,Facepunch Studios,2018
2025-04-15,8,Bongo Cat,120447,137310,0.877,Casual,Marcel Zurawka,2025
2025-04-15,9,R.E.P.O.,110540,266908,0.414,Action,semiwork,2025
2025-04-15,10,Apex Legends,103855,187819,0.553,Action,Respawn,2020
2025-04-15,11,Banana,91576,134823,0.679,Adventure,Sky,2024
2025-04-15,12,Spacewar,84929,138329,0.614,Simulation,Strange Scaffold,2021
2025-04-15,13,Monster Hunter Wilds,84342,600822,0.14,Action,"CAPCOM Co., Ltd.",2025
2025-04-15,14,Baldur's Gate 3,80767,91942,0.878,Adventure,Larian Studios,2023
2025-04-15,15,Grand Theft Auto V Legacy,78577,120237,0.654,Action,Rockstar North,2025
2025-04-15,16,Call of DutyÂ®,75888,138335,0.549,Action,Treyarch,2022
2025-04-15,17,Wallpaper Engine,75179,138929,0.541,Casual,Wallpaper Engine Team,2018
2025-04-15,18,War Thunder,71070,106391,0.668,Action,Gaijin Entertainment,2013
2025-04-15,19,Tom Clancy's Rainbow Six Siege,63249,145490,0.435,Action,Ubisoft Montreal,2015
2025-04-15,20,EA SPORTS FC 25,59618,91239,0.653,Simulation,EA Canada,2024
2025-04-15,21,Football Manager 2024,56456,69418,0.813,Simulation,Sports Interactive,2023
2025-04-15,22,Stardew Valley,54238,136302,0.398,Indie,ConcernedApe,2016
2025-04-15,23,Dead by Daylight,52844,71375,0.74,Action,Behaviour Interactive Inc.,2016
2025-04-15,24,Crosshair X,52817,65998,0.8,Action,CenterPoint Gaming,2020
2025-04-15,25,Warframe,50506,101881,0.496,Action,Digital Extremes,2013
